station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other,q_assigned_pre,q_assigned_fixed,delta_q_simulated_fixed,delta_q_residual
8038,VIA AUGUSTA - LUÍS ANTÚNEZ (Pujada),1_2km,5755.857142857143,4210.958333333333,-1544.89880952381,61044,0.4,False,0.0,0.0,0.0,-1544.89880952381
2018,PG. SANT ANTONI - ALCOLEA (Besòs),1_2km,3570.2,4302.583333333333,732.3833333333332,13643,7.6,False,7546.314188328179,7546.314188328179,0.0,732.3833333333332
4093,ARIBAU - DIAGONAL  (sentit muntanya),1_2km,14914.285714285714,14936.083333333334,21.797619047620174,16354,0.5,False,0.0,0.0,0.0,21.797619047620174
3034,AV. PARAL·LEL - RONDA SANT PAU (Baixada),1_2km,13929.285714285714,17899.25,3969.9642857142862,21062,8.8,False,16873.03312453068,16873.03312453068,0.0,3969.9642857142862
4036,BALMES - LA GRANADA (baixada),1_2km,28424.14285714286,26208.33333333333,-2215.8095238095266,30447,0.2,False,7022.936248146349,7022.936248146349,0.0,-2215.8095238095266
3011,GRAN VIA - TRAJÀ (Entrada),1_2km,39323.0,37067.782608695656,-2255.2173913043443,56598,0.2,True,41492.59340345748,38429.23533843305,-3063.358065024433,808.1406737200887
3036,AV. PARAL·LEL - ABAT SAFONT (Pujada),1_2km,22014.42857142857,19335.130434782608,-2679.2981366459644,21062,7.3,False,16873.03312453068,16873.03312453068,0.0,-2679.2981366459644
8001,TRAVESSERA DE GRÀCIA - BALMES,1_2km,16401.6,11688.42857142857,-4713.171428571428,45879,0.7,False,18489.010234587877,18489.010234587877,0.0,-4713.171428571428
2002,ENTENÇA - DEU I MATA  (sentit muntanya),1_2km,21646.42857142857,23501.5,1855.0714285714275,51952,0.9,False,21570.50125467256,21570.50125467256,0.0,1855.0714285714275
3008,GRAN VIA - MOIANÈS (Sortida),1_2km,34576.57142857143,34739.34782608696,162.77639751553215,36893,1.2,True,0.0,0.0,0.0,162.77639751553215
1002,AV. DIAGONAL - AV. SARRIÀ (Entrada),1_2km,15584.42857142857,14341.0,-1243.4285714285706,7393,5.3,False,15377.22276468987,15377.22276468987,0.0,-1243.4285714285706
4085,VALÈNCIA - DOS DE MAIG  (sentit Besòs),1_2km,13226.857142857143,12733.181818181818,-493.6753246753251,49256,1.0,True,16548.676551032142,16548.676551032142,0.0,-493.6753246753251
1005,AV. DIAGONAL - BEETHOVEN (Sortida),1_2km,13290.57142857143,20064.416666666668,6773.845238095239,7393,5.0,False,15377.22276468987,15377.22276468987,0.0,6773.845238095239
6022,CÒRSEGA - CARTAGENA  (sentit Llobregat),1_2km,9401.2,8284.78947368421,-1116.4105263157908,3028,2.5,False,5809.188317859999,5809.188317859999,0.0,-1116.4105263157908
4057,ARAGÓ - INDEPENDÈNCIA (sentit Llobregat),1_2km,37049.16666666666,34584.857142857145,-2464.3095238095198,49807,2.3,True,48091.368379083215,43802.71034223999,-4288.658036843226,1824.3485130337062
6023,ROSSELLÓ - CASTILLEJOS (sentit Besòs),1_2km,20444.571428571428,16546.916666666668,-3897.65476190476,44868,0.8,False,14681.190920889643,14681.190920889643,0.0,-3897.65476190476
8027,GRAN DE GRÀCIA - RAMBLA DEL PRAT (sentit muntanya),1_2km,10756.42857142857,10244.708333333334,-511.7202380952367,51819,2.2,False,8278.467874034186,8278.467874034186,0.0,-511.7202380952367
8018,MUNTANER - AVENIR (sentit mar),1_2km,13818.857142857143,12617.0,-1201.8571428571431,2625,0.6,False,20846.498054525073,20846.498054525073,0.0,-1201.8571428571431
5016,AV. MARQUÉS DE L'ARGENTERA - COMERÇ (Besós),1_2km,12212.42857142857,17546.85714285714,5334.428571428571,61412,4.8,False,4927.469257670241,4927.469257670241,0.0,5334.428571428571
5015,AV. MARQUÉS DE L'ARGENTERA - COMERÇ (Llobregat),1_2km,2481.1428571428573,3485.8571428571427,1004.7142857142852,57900,1.0,False,411.9556755572763,411.9556755572763,0.0,1004.7142857142852
2011,TRAVESSERA DE LES CORTS - VILAMUR (Llobregat),1_2km,14382.166666666666,15870.52380952381,1488.3571428571431,59049,0.2,False,13567.763662439002,13567.763662439002,0.0,1488.3571428571431
5002,VIA LAIETANA - MANRESA (Baixada),1_2km,16827.85714285714,10930.375,-5897.482142857141,31033,0.8,False,5638.206449046183,5638.206449046183,0.0,-5897.482142857141
7007,AV. MERIDIANA - CONSELL DE CENT (Entrada),1_2km,1604.142857142857,1585.3333333333333,-18.809523809523853,49595,3.3,False,395.15649298308534,395.15649298308534,0.0,-18.809523809523853
