station_id,desc,lon,lat,euclid_m,network_m,snap_m,network_bin,euclid_bin,years_with_counts,distance_metric
3005,RONDA SANT ANTONI - PL. PES DE LA PALLA (Sentit Urgell),2.163349079,41.380996415,514.2,855.8,31.3,500_1000m,500_1000m,2017,undirected_osm_highway_utm31n
4004,COMTE URGELL - ROSSELLÓ,2.14990520386567,41.3886720676745,515.3,907.7,60.6,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024",undirected_osm_highway_utm31n
5023,VIA LAIETANA - PL. URQUINAONA (Baixada),2.173148081,41.388176516,521.7,624.6,23.0,500_1000m,500_1000m,"2017,2018,2019,2020,2021",undirected_osm_highway_utm31n
6026,PG. SANT JOAN - INDÚSTRIA (Baixada),2.16549561683824,41.4022539572222,528.8,725.5,19.1,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4019,MARINA - DIPUTACIÓ (pujada),2.17953138379849,41.4004509378448,534.3,635.8,37.0,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4109,ARAGÓ - MARINA (sentit Llobregat),2.17747765111273,41.4017230342086,543.2,688.5,12.1,500_1000m,500_1000m,"2024,2025",undirected_osm_highway_utm31n
4032,VALÈNCIA - SARDENYA  (sentit Besòs),2.17592696473159,41.4021296117717,545.9,750.0,3.0,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4081,ROSSELLÓ - PG. DE GRÀCIA (sentit Besòs),2.16105455665482,41.3961020872117,547.7,643.2,35.5,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
6021,MALLORCA - SARDENYA  (sentit Llobregat),2.17391122063067,41.4023331973147,562.7,732.9,6.3,500_1000m,500_1000m,"2017,2019,2020,2021,2022,2023,2024",undirected_osm_highway_utm31n
4050,PASSEIG DE GRÀCIA - PROVENÇA (Pujada),2.16128392270725,41.3951762991631,568.1,735.5,15.6,500_1000m,500_1000m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3016,GRAN VIA - MÈXIC (Lateral Entrada),2.14780545152451,41.3737883667861,572.6,783.9,7.4,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024",undirected_osm_highway_utm31n
4045,PASSEIG DE GRÀCIA - ROSSELLÓ (Baixada),2.16121790070137,41.3951049670639,576.6,735.5,17.0,500_1000m,500_1000m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4041,PROVENÇA - BALMES  (sentit Llobregat),2.15808497115376,41.3921622573913,578.1,617.6,14.0,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4015,MUNTANER - ROSSELLÓ  (sentit mar),2.1544218274295,41.3903713401314,581.5,634.3,24.6,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4038,SARDENYA - CASP  (sentit mar),2.18173768883239,41.3970756592755,588.9,801.5,18.7,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5033,VIA LAIETANA - RAMON MAS (pujada),2.17408730045201,41.3875440238147,592.0,753.3,6.0,500_1000m,500_1000m,"2024,2025",undirected_osm_highway_utm31n
5034,VIA LAIETANA - FONTANELLA (baixada),2.17403902069268,41.3874957276319,597.0,753.3,0.7,500_1000m,500_1000m,"2024,2025",undirected_osm_highway_utm31n
5014,PELAI - BALMES,2.16922932842103,41.3855471554975,601.3,626.1,4.5,500_1000m,500_1000m,"2017,2018,2019,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4020,MARINA - GRAN VIA (Baixada),2.1817417074382,41.3986563805349,607.6,801.3,27.3,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
6005,CÒRSEGA - NÀPOLS  (sentit Llobregat),2.16818331001933,41.4031772143077,611.6,843.3,9.9,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5012,FONTANELLA - PL. CATALUNYA,2.17174353946815,41.3872745114631,616.9,776.2,16.4,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4083,MARINA - CASP (Pujada),2.18183500793533,41.398739728411,617.5,801.3,25.9,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
6004,ROSSELLÓ - NÀPOLS (sentit Besòs),2.17019732723134,41.4029424426241,622.8,832.7,9.8,500_1000m,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5022,VIA LAIETANA - COMTAL (Pujada),2.174518411,41.387268706,625.8,1009.5,14.0,1_2km,500_1000m,"2017,2019,2020,2021,2022",undirected_osm_highway_utm31n
