seccio,codi_districte,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop
2121,2,9,la Nova Esquerra de l'Eixample,Eixample,428993.95779297146,4581760.585098788,190.26885813120745,1262
2122,2,9,la Nova Esquerra de l'Eixample,Eixample,428786.55948144314,4581728.915089938,187.21572629898986,1026
2123,2,9,la Nova Esquerra de l'Eixample,Eixample,428693.04548377724,4581824.188439007,315.26242756583235,1093
2124,2,9,la Nova Esquerra de l'Eixample,Eixample,428504.5240872224,4581825.818798933,445.69707694679323,1083
2125,2,9,la Nova Esquerra de l'Eixample,Eixample,428387.8535571781,4581888.71775367,577.0296353796075,1670
2126,2,9,la Nova Esquerra de l'Eixample,Eixample,428380.11256461195,4581695.027130853,499.180708898742,1464
2127,2,9,la Nova Esquerra de l'Eixample,Eixample,428467.49048697477,4581599.246216141,394.5338025340564,1156
2128,2,9,la Nova Esquerra de l'Eixample,Eixample,428702.7538522174,4581627.071679524,172.05877528194594,1300
2129,2,9,la Nova Esquerra de l'Eixample,Eixample,428534.1453829169,4581505.000887541,329.62617191885226,1523
2130,2,9,la Nova Esquerra de l'Eixample,Eixample,428455.32998318045,4581294.354319608,449.1466372515566,1104
2131,2,9,la Nova Esquerra de l'Eixample,Eixample,428588.6404947374,4581163.329055222,294.1180958379024,1121
2132,2,9,la Nova Esquerra de l'Eixample,Eixample,428686.58929972333,4581257.6075168485,220.79559121579538,1012
2133,2,9,la Nova Esquerra de l'Eixample,Eixample,428572.08653908374,4581370.787125107,342.4141819202808,821
2134,2,9,la Nova Esquerra de l'Eixample,Eixample,428682.81708665664,4581447.383916796,207.88366482403575,1454
2135,2,9,la Nova Esquerra de l'Eixample,Eixample,428830.42554754246,4581397.482771545,132.46587674743117,2095
2136,2,9,la Nova Esquerra de l'Eixample,Eixample,428791.253534026,4581527.487314774,74.38344580669089,881
2137,2,9,la Nova Esquerra de l'Eixample,Eixample,428947.9619227722,4581561.3661540365,66.2580862776641,1438
2138,2,9,la Nova Esquerra de l'Eixample,Eixample,429102.83613744105,4581677.233970575,143.45086975081608,1921
2139,2,9,la Nova Esquerra de l'Eixample,Eixample,429319.75885689235,4581755.114092303,65.68043716287268,1711
2140,2,9,la Nova Esquerra de l'Eixample,Eixample,429209.9842465407,4581583.115768437,71.65515201906898,1891
2141,2,9,la Nova Esquerra de l'Eixample,Eixample,429066.9265520817,4581442.649004044,67.7840115280172,1179
2142,2,9,la Nova Esquerra de l'Eixample,Eixample,429207.9168640916,4581393.782182949,61.055590132069675,2000
2143,2,9,la Nova Esquerra de l'Eixample,Eixample,429398.97278241976,4581581.480143407,0.15209839136262274,1466
2144,2,9,la Nova Esquerra de l'Eixample,Eixample,429497.1978483749,4581480.409055069,0.8867769064365932,1494
2145,2,9,la Nova Esquerra de l'Eixample,Eixample,429305.82830939797,4581293.492211236,133.44688304609312,1228
2146,2,9,la Nova Esquerra de l'Eixample,Eixample,429162.6782601244,4581153.087099915,67.06601803446371,1178
2147,2,9,la Nova Esquerra de l'Eixample,Eixample,429018.11055645754,4581300.751027868,6.940383255548023,2076
2148,2,9,la Nova Esquerra de l'Eixample,Eixample,428824.04822595156,4581112.647903998,72.97159940081409,1554
2149,2,9,la Nova Esquerra de l'Eixample,Eixample,428970.0460633913,4580963.310363655,211.66882161572886,1864
2150,2,10,Sant Antoni,Eixample,429075.7782659173,4580814.620187613,375.12282542568425,1508
2151,2,10,Sant Antoni,Eixample,429202.2409626075,4580926.028796004,217.48080257821292,1489
2152,2,10,Sant Antoni,Eixample,429266.7306394023,4581046.966113779,83.11251670703412,1270
2153,2,10,Sant Antoni,Eixample,429365.89312188793,4580945.512670833,202.29219332792843,1352
2154,2,10,Sant Antoni,Eixample,429333.64787839603,4580787.8418498915,345.1878679652003,1006
2155,2,10,Sant Antoni,Eixample,429498.9722929147,4580814.662515454,382.70967505307306,1804
2156,2,10,Sant Antoni,Eixample,429647.67024703824,4580848.428453127,462.009821119114,1283
2157,2,10,Sant Antoni,Eixample,429554.4041793222,4580943.795380364,330.5561656888883,1194
2158,2,10,Sant Antoni,Eixample,429509.19413235364,4581085.96898516,232.6428621193511,1584
2159,2,10,Sant Antoni,Eixample,429409.8410298982,4581187.094690761,141.77475212064763,1961
2160,2,10,Sant Antoni,Eixample,429600.88455310895,4581374.172309734,102.24347464851277,1968
2161,2,10,Sant Antoni,Eixample,429652.79378506646,4581226.557373113,253.18291884077152,1158
2162,2,10,Sant Antoni,Eixample,429748.02861771366,4581320.405897423,252.43917374220882,1402
2163,2,10,Sant Antoni,Eixample,429791.9172635216,4581561.515546047,285.14822458458355,1806
2164,2,10,Sant Antoni,Eixample,430007.3741285018,4581735.163499488,335.5038055764474,1445
2165,2,10,Sant Antoni,Eixample,429891.0962305339,4581461.152974481,361.0480875790719,1694
2166,2,10,Sant Antoni,Eixample,429921.5442018875,4581310.558836637,414.74080658458655,2145
2167,2,10,Sant Antoni,Eixample,429697.6294638501,4581084.565907717,400.2260147947336,2111
2168,2,10,Sant Antoni,Eixample,429860.16494449985,4581062.345059143,507.5914218370947,2256
2169,2,10,Sant Antoni,Eixample,430073.69671396055,4580986.606409696,712.9507372056596,1548
2170,2,10,Sant Antoni,Eixample,430255.02350005595,4580806.437122312,967.9945052171565,1521
2171,2,10,Sant Antoni,Eixample,430022.9925043362,4580765.4029919775,826.6592065140758,1618
2172,2,10,Sant Antoni,Eixample,429977.9106467315,4580892.84683904,713.2359340094062,1508
