intervention_id,intervention_name,id_priority,match_role,station_id,station_desc,n_lanes,lon,lat,n_years,years,n_pre,n_post,has_pre_post,pre_years,post_years
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4104,ARAGÓ - COMTE D'URGELL (sentit Llobregat),3,2.154269038,41.38422424,4,"2022,2023,2024,2025",0,1,0,,2022
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4109,ARAGÓ - MARINA (sentit Llobregat),6,2.17747765111273,41.4017230342086,2,"2024,2025",0,0,0,,
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,1032,GRAN VÍA CARLES III - TRAV. DE LES CORTS (Pujada),2,2.12817127446172,41.3829592063285,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,1033,GRAN VÍA CARLES III - TRAV. DE LES CORTS (Baixada),3,2.12810394464394,41.3818510282584,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3003,GRAN VIA - VILAMARÍ  (sentit Besòs),5,2.15225172788928,41.3773556078136,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3004,GRAN VIA - ROCAFORT  (sentit Besòs),5,2.15453692917648,41.3790627934243,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3006,GRAN VIA - VILADOMAT  (sentit Besòs),5,2.15681723918066,41.3807773965116,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3007,GRAN VIA - FARELL (Sortida),3,2.14429511912127,41.3714598785271,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3008,GRAN VIA - MOIANÈS (Sortida),3,2.14132174763906,41.3691598112449,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3009,GRAN VIA - QUÍMICA (Entrada),2,2.13777851988968,41.3664402946205,7,"2017,2018,2020,2021,2022,2023,2024",1,2,1,2018,"2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3011,GRAN VIA - TRAJÀ (Entrada),3,2.14166976251838,41.3692427641998,7,"2017,2020,2021,2022,2023,2024,2025",0,2,0,,"2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,cross_street,3013,VILLARROEL - GRAN VIA  (sentit mar),2,2.16051119824691,41.3823690318997,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3016,GRAN VIA - MÈXIC (Lateral Entrada),1,2.14780545152451,41.3737883667861,8,"2017,2018,2019,2020,2021,2022,2023,2024",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,3017,GRAN VIA - QUÍMICA (Sortida),2,2.1377325012082,41.3664811613027,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,cross_street,4020,MARINA - GRAN VIA (Baixada),2,2.1817417074382,41.3986563805349,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,4023,GRAN VIA - VILLARROEL (sentit Besòs),5,2.16016961309645,41.3833263269611,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,4035,GRAN VIA - PL. UNIVERSITAT  (sentit Besòs),5,2.16441727131043,41.3865364803669,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,4037,GRAN VIA - LEPANT (Besòs),3,2.18315468669706,41.400525643884,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,cross_street,4055,PADILLA - GRAN VIA  (sentit muntanya),2,2.18306888271222,41.4012229046827,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,4062,GRAN VIA - PAU CLARIS (sentit Besós),5,2.17015825066685,41.390863780895,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,4068,GRAN VIA - GIRONA,5,2.17356197276934,41.39342660503,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,4082,GRAN VIA - NÀPOLS (sentit Besós),5,2.17815149968645,41.3968351807915,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GRANVIA,Gran Via extra bus lane,C,on_street,5030,GRAN VIA - RBLA. POBLENOU (Entrada),3,2.1924419,41.4077603,2,"2017,2018",1,0,0,2018,
BCN-2020-RONDAUNI,Ronda de la Universitat bus-priority,C,cross_street,4070,PELAI - RONDA UNIVERSITAT  (sentit Besòs),2,2.16682285923792,41.3857203495775,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
