station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other
8027,GRAN DE GRÀCIA - RAMBLA DEL PRAT (sentit muntanya),1_2km,10756.42857142857,10244.708333333334,-511.7202380952367,51835,2.2,False
8018,MUNTANER - AVENIR (sentit mar),1_2km,13818.857142857143,12617.0,-1201.8571428571431,2620,0.6,False
5016,AV. MARQUÉS DE L'ARGENTERA - COMERÇ (Besós),1_2km,12212.42857142857,17546.85714285714,5334.428571428571,61207,4.8,False
5015,AV. MARQUÉS DE L'ARGENTERA - COMERÇ (Llobregat),1_2km,2481.1428571428573,3485.8571428571427,1004.7142857142852,57703,1.0,False
2011,TRAVESSERA DE LES CORTS - VILAMUR (Llobregat),1_2km,14382.166666666666,15870.52380952381,1488.3571428571431,58852,0.2,False
5002,VIA LAIETANA - MANRESA (Baixada),1_2km,16827.85714285714,10930.375,-5897.482142857141,31057,0.8,False
7007,AV. MERIDIANA - CONSELL DE CENT (Entrada),1_2km,1604.142857142857,1585.3333333333333,-18.809523809523853,49598,3.3,False
6011,LEPANT - LLORENS I BARBA  (sentit mar),control_gt2km,27462.285714285717,26776.066666666666,-686.2190476190481,1247,0.9,False
9004,LLULL- MARINA (sentit Besòs),1_2km,3651.285714285714,3456.913043478261,-194.37267080745323,43686,0.7,False
7017,AV. MERIDIANA - CLOT (Sortida),1_2km,5272.285714285715,3323.875,-1948.410714285715,34167,2.3,False
2027,C. DE SANTS - SANT MEDIR (Sentit Pl. Espanya),1_2km,6043.714285714285,5219.958333333333,-823.7559523809523,37504,3.6,False
2022,TRAV. DE LES CORTS - GALILEU (Besòs),1_2km,3295.285714285714,2964.375,-330.9107142857142,46147,5.0,False
2013,NUMÀNCIA - ANGLESOLA  (sentit mar),1_2km,29737.0,21836.555555555555,-7900.444444444445,58815,1.3,False
6012,PADILLA - ROSALIA DE CASTRO  (sentit muntanya),control_gt2km,17754.0,15599.083333333334,-2154.916666666666,59505,0.4,False
2023,TRAV. DE LES CORTS - GALILEU (Llobregat),1_2km,12231.57142857143,10760.291666666666,-1471.2797619047633,45781,1.3,False
9005,RAMON TRIAS FARGAS - DR. TRUETA (sentit mar),1_2km,7930.571428571428,6720.045454545455,-1210.5259740259737,6515,0.7,False
1014,AV. SARRIÀ - DOCTOR FLEMING (pujada),1_2km,12248.6,11891.125,-357.4750000000004,32439,5.6,False
5010,PG. COLOM - PL. D’IDRISSA DAILO (Llobregat),1_2km,20017.85714285714,18522.8,-1495.057142857142,33712,2.8,False
8020,AV.DE LA RIERA DE CASSOLES - VALLIRANA (Baixada),1_2km,14060.42857142857,12887.09090909091,-1173.3376623376607,37057,4.0,False
5007,PL. PAU VILA - DOCTOR AIGUADER (Sentit Pla de Palau),1_2km,13436.0,13683.833333333334,247.83333333333397,30003,1.7,False
2020,AV. MADRID - TENOR MASINI (Besòs),1_2km,13804.142857142857,14815.78947368421,1011.6466165413532,32566,6.0,False
2021,AV. MADRID - LLUÇÀ (Llobregat),1_2km,3935.571428571429,4871.1578947368425,935.586466165414,32566,1.1,False
8032,RIERA DE CASSOLES - LES CAROLINES (Pujada),1_2km,2948.285714285714,5963.590909090909,3015.305194805195,61425,2.5,False
5004,PAS SOTA MURALLA - LLAUDER (Llobregat),1_2km,7041.142857142857,3461.7272727272725,-3579.4155844155844,33732,2.9,False
5003,PAS SOTA MURALLA - LLAUDER (Besòs),1_2km,25620.285714285717,22731.78947368421,-2888.496240601504,29966,4.6,False
5008,DOCTOR AIGUADER - PIZARRO (Llobregat),control_gt2km,17017.285714285714,14549.42857142857,-2467.857142857143,36209,1.7,False
5001,PG. COLOM - SIMÓ OLLER (Besòs),1_2km,16372.857142857143,15549.260869565218,-823.5962732919252,44009,0.7,False
6017,RONDA DEL MIG - PL. ALFONS X EL SAVI (Llobregat),control_gt2km,11165.0,10290.826086956522,-874.173913043478,36729,1.3,False
9001,MARINA - DOCTOR TRUETA (Baixada),control_gt2km,8171.571428571428,9046.222222222224,874.6507936507942,54087,12.4,False
6024,CAMÈLIES - CA L'ALEGRE DE DALT,1_2km,4414.428571428572,4185.875,-228.5535714285716,18200,1.7,False
8019,ARIBAU - MADRAZO (sentit muntanya),1_2km,10060.57142857143,11724.833333333334,1664.2619047619046,11684,0.2,False
8022,TRAVESSERA DE DALT - MASSENS (Besòs),1_2km,31048.85714285714,31281.95833333333,233.1011904761908,32321,2.5,False
3017,GRAN VIA - QUÍMICA (Sortida),1_2km,15225.857142857143,35939.57142857143,20713.714285714283,45358,9.5,True
7038,MERIDIANA - VALÈNCIA (ENTRADA),1_2km,27676.571428571428,15629.833333333334,-12046.738095238094,58385,1.4,False
6006,SANT ANTONI MARIA CLARET - INDEPENDÈNCIA  (sentit Llobregat),control_gt2km,28607.285714285717,26402.625,-2204.6607142857138,29233,1.7,False
8021,TRAVESSERA DE DALT - GRANJA (Llobregat),1_2km,28708.285714285717,27783.70833333333,-924.5773809523816,35263,2.5,False
9010,RAMON TURRÓ - PAMPLONA (sentit Llobregat),control_gt2km,2022.7142857142856,1783.5416666666667,-239.17261904761904,25507,3.5,False
6010,TÚNEL DE LA ROVIRA - BOCA SUD (Sentit Guinardó),control_gt2km,19867.285714285717,20119.53846153846,252.2527472527472,10352,2.9,False
